basket_id,open_time,symbol,direction,warn_depth,max_depth,ema_sep_atr,ema_slope,atr,adx,dist_ema_trend_atr,spread_points,hour,dow,roll_wr,roll_pf,roll_n,ema_slope_accel,adx_accel,atr_expansion_rate,consecutive_same_dir,dist_ema_abs,impulse_score,is_sell,profit,hit_bsl,mae,mfe,bars_alive,label_class,y_steamroller,y_mid_steamroller
1,2018.01.02 02:07:00,EURUSD,BUY,2,3,2.8663,-0.00003,0.00023,21.82,1.1855,19,2,2,0.0000,0.0000,0,0.0,0.0,0.0,1,1.1855,0.7964,0.0,10.06,0,-1.64,10.06,78,winner,0,0
1,2018.01.02 02:07:00,EURUSD,BUY,3,3,2.8663,-0.00003,0.00023,21.82,1.1855,19,2,2,0.0000,0.0000,0,0.0,0.0,0.0,1,1.1855,0.7964,0.0,10.06,0,-1.64,10.06,78,winner,0,0
2,2018.01.02 11:58:39,EURUSD,BUY,2,5,5.2128,-0.00002,0.00039,19.37,4.0961,1,11,2,1.0000,99.0000,1,1e-05,-2.45,0.695652,2,4.0961,9.0805,0.0,-25.29,1,-25.29,7.26,375,steamroller_bsl,1,1
2,2018.01.02 11:58:39,EURUSD,BUY,3,5,5.2128,-0.00002,0.00039,19.37,4.0961,1,11,2,1.0000,99.0000,1,1e-05,-2.45,0.695652,2,4.0961,9.0805,0.0,-25.29,1,-25.29,7.26,375,steamroller_bsl,1,1
2,2018.01.02 11:58:39,EURUSD,BUY,4,5,5.2128,-0.00002,0.00039,19.37,4.0961,1,11,2,1.0000,99.0000,1,1e-05,-2.45,0.695652,2,4.0961,9.0805,0.0,-25.29,1,-25.29,7.26,375,steamroller_bsl,1,1
2,2018.01.02 11:58:39,EURUSD,BUY,5,5,5.2128,-0.00002,0.00039,19.37,4.0961,1,11,2,1.0000,99.0000,1,1e-05,-2.45,0.695652,2,4.0961,9.0805,0.0,-25.29,1,-25.29,7.26,375,steamroller_bsl,1,1
3,2018.01.03 20:28:35,EURUSD,SELL,2,5,-1.2335,0.00003,0.00036,19.09,0.1393,1,20,3,0.5000,0.3978,2,5e-05,-0.28,-0.076923,1,0.1393,1.0348,1.0,10.10,0,-16.65,10.10,501,winner,0,0
3,2018.01.03 20:28:35,EURUSD,SELL,3,5,-1.2335,0.00003,0.00036,19.09,0.1393,1,20,3,0.5000,0.3978,2,5e-05,-0.28,-0.076923,1,0.1393,1.0348,1.0,10.10,0,-16.65,10.10,501,winner,0,0
3,2018.01.03 20:28:35,EURUSD,SELL,4,5,-1.2335,0.00003,0.00036,19.09,0.1393,1,20,3,0.5000,0.3978,2,5e-05,-0.28,-0.076923,1,0.1393,1.0348,1.0,10.10,0,-16.65,10.10,501,winner,0,0
3,2018.01.03 20:28:35,EURUSD,SELL,5,5,-1.2335,0.00003,0.00036,19.09,0.1393,1,20,3,0.5000,0.3978,2,5e-05,-0.28,-0.076923,1,0.1393,1.0348,1.0,10.10,0,-16.65,10.10,501,winner,0,0
4,2018.01.05 16:01:17,EURUSD,SELL,2,2,-2.0713,0.00002,0.00062,22.79,-1.2176,1,16,5,0.6667,0.7972,3,-1e-05,3.7,0.722222,2,1.2176,16.0266,1.0,10.19,0,-2.11,10.19,200,winner,0,0
5,2018.01.08 10:04:38,EURUSD,SELL,2,5,-7.8209,-0.00002,0.00025,24.71,-6.8382,1,10,1,0.7500,1.2001,4,-4e-05,1.92,-0.596774,3,6.8382,7.4496,1.0,10.00,0,-5.05,10.00,32,winner,0,0
5,2018.01.08 10:04:38,EURUSD,SELL,3,5,-7.8209,-0.00002,0.00025,24.71,-6.8382,1,10,1,0.7500,1.2001,4,-4e-05,1.92,-0.596774,3,6.8382,7.4496,1.0,10.00,0,-5.05,10.00,32,winner,0,0
5,2018.01.08 10:04:38,EURUSD,SELL,4,5,-7.8209,-0.00002,0.00025,24.71,-6.8382,1,10,1,0.7500,1.2001,4,-4e-05,1.92,-0.596774,3,6.8382,7.4496,1.0,10.00,0,-5.05,10.00,32,winner,0,0
5,2018.01.08 10:04:38,EURUSD,SELL,5,5,-7.8209,-0.00002,0.00025,24.71,-6.8382,1,10,1,0.7500,1.2001,4,-4e-05,1.92,-0.596774,3,6.8382,7.4496,1.0,10.00,0,-5.05,10.00,32,winner,0,0
6,2018.01.08 15:50:38,EURUSD,SELL,2,3,-4.7019,0.00002,0.00035,26.56,-3.7570,1,15,1,0.8000,1.5955,5,4e-05,1.85,0.4,4,3.757,11.0392,1.0,10.07,0,-1.90,10.07,195,winner,0,0
6,2018.01.08 15:50:38,EURUSD,SELL,3,3,-4.7019,0.00002,0.00035,26.56,-3.7570,1,15,1,0.8000,1.5955,5,4e-05,1.85,0.4,4,3.757,11.0392,1.0,10.07,0,-1.90,10.07,195,winner,0,0
7,2018.01.09 12:16:00,EURUSD,SELL,2,5,-5.6143,0.00003,0.00027,24.04,-4.6169,1,12,2,0.8333,1.9937,6,1e-05,-2.52,-0.228571,5,4.6169,3.7542,1.0,-25.49,1,-25.49,3.54,269,steamroller_bsl,1,1
7,2018.01.09 12:16:00,EURUSD,SELL,3,5,-5.6143,0.00003,0.00027,24.04,-4.6169,1,12,2,0.8333,1.9937,6,1e-05,-2.52,-0.228571,5,4.6169,3.7542,1.0,-25.49,1,-25.49,3.54,269,steamroller_bsl,1,1
7,2018.01.09 12:16:00,EURUSD,SELL,4,5,-5.6143,0.00003,0.00027,24.04,-4.6169,1,12,2,0.8333,1.9937,6,1e-05,-2.52,-0.228571,5,4.6169,3.7542,1.0,-25.49,1,-25.49,3.54,269,steamroller_bsl,1,1
7,2018.01.09 12:16:00,EURUSD,SELL,5,5,-5.6143,0.00003,0.00027,24.04,-4.6169,1,12,2,0.8333,1.9937,6,1e-05,-2.52,-0.228571,5,4.6169,3.7542,1.0,-25.49,1,-25.49,3.54,269,steamroller_bsl,1,1
8,2018.01.10 13:01:30,EURUSD,BUY,2,5,5.5386,-0.00003,0.00059,26.36,4.3468,1,13,3,0.7143,0.9929,7,-6e-05,2.32,1.185185,1,4.3468,18.6786,0.0,10.03,0,-24.62,10.03,286,winner,0,0
8,2018.01.10 13:01:30,EURUSD,BUY,3,5,5.5386,-0.00003,0.00059,26.36,4.3468,1,13,3,0.7143,0.9929,7,-6e-05,2.32,1.185185,1,4.3468,18.6786,0.0,10.03,0,-24.62,10.03,286,winner,0,0
8,2018.01.10 13:01:30,EURUSD,BUY,4,5,5.5386,-0.00003,0.00059,26.36,4.3468,1,13,3,0.7143,0.9929,7,-6e-05,2.32,1.185185,1,4.3468,18.6786,0.0,10.03,0,-24.62,10.03,286,winner,0,0
8,2018.01.10 13:01:30,EURUSD,BUY,5,5,5.5386,-0.00003,0.00059,26.36,4.3468,1,13,3,0.7143,0.9929,7,-6e-05,2.32,1.185185,1,4.3468,18.6786,0.0,10.03,0,-24.62,10.03,286,winner,0,0
9,2018.01.11 16:49:40,EURUSD,BUY,2,2,6.7153,-0.00002,0.00058,27.59,5.3678,1,16,4,0.7500,1.1904,8,1e-05,1.23,-0.016949,2,5.3678,4.902,0.0,10.19,0,-0.99,10.19,190,winner,0,0
10,2018.01.12 13:30:17,EURUSD,BUY,2,4,6.7292,0.00007,0.00043,29.78,5.5020,1,13,5,0.7778,1.3911,9,9e-05,2.19,-0.258621,3,5.502,8.1555,0.0,10.00,0,-4.08,10.00,11,winner,0,0
10,2018.01.12 13:30:17,EURUSD,BUY,3,4,6.7292,0.00007,0.00043,29.78,5.5020,1,13,5,0.7778,1.3911,9,9e-05,2.19,-0.258621,3,5.502,8.1555,0.0,10.00,0,-4.08,10.00,11,winner,0,0
10,2018.01.12 13:30:17,EURUSD,BUY,4,4,6.7292,0.00007,0.00043,29.78,5.5020,1,13,5,0.7778,1.3911,9,9e-05,2.19,-0.258621,3,5.502,8.1555,0.0,10.00,0,-4.08,10.00,11,winner,0,0
11,2018.01.12 16:30:38,EURUSD,BUY,2,3,3.1166,0.00012,0.00068,23.47,2.0981,1,16,5,0.8000,1.5880,10,5e-05,-6.31,0.581395,4,2.0981,8.8385,0.0,10.16,0,-2.23,10.16,25,winner,0,0
11,2018.01.12 16:30:38,EURUSD,BUY,3,3,3.1166,0.00012,0.00068,23.47,2.0981,1,16,5,0.8000,1.5880,10,5e-05,-6.31,0.581395,4,2.0981,8.8385,0.0,10.16,0,-2.23,10.16,25,winner,0,0
13,2018.01.15 11:47:19,EURUSD,BUY,2,4,4.4623,-0.00004,0.00069,21.99,3.3551,1,11,1,0.8333,1.9870,12,-3e-05,7.73,0.769231,6,3.3551,27.2911,0.0,10.09,0,-20.31,10.09,378,winner,0,0
13,2018.01.15 11:47:19,EURUSD,BUY,3,4,4.4623,-0.00004,0.00069,21.99,3.3551,1,11,1,0.8333,1.9870,12,-3e-05,7.73,0.769231,6,3.3551,27.2911,0.0,10.09,0,-20.31,10.09,378,winner,0,0
13,2018.01.15 11:47:19,EURUSD,BUY,4,4,4.4623,-0.00004,0.00069,21.99,3.3551,1,11,1,0.8333,1.9870,12,-3e-05,7.73,0.769231,6,3.3551,27.2911,0.0,10.09,0,-20.31,10.09,378,winner,0,0
14,2018.01.16 21:00:00,EURUSD,BUY,2,3,5.6261,-0.00002,0.00033,25.64,4.5127,2,21,2,0.8462,2.1857,13,2e-05,3.65,-0.521739,7,4.5127,12.1282,0.0,10.00,0,-1.97,10.00,45,winner,0,0
14,2018.01.16 21:00:00,EURUSD,BUY,3,3,5.6261,-0.00002,0.00033,25.64,4.5127,2,21,2,0.8462,2.1857,13,2e-05,3.65,-0.521739,7,4.5127,12.1282,0.0,10.00,0,-1.97,10.00,45,winner,0,0
15,2018.01.17 02:19:17,EURUSD,BUY,2,4,2.8593,-0.00004,0.00062,16.93,1.7889,1,2,3,0.8571,2.3826,14,-2e-05,-8.71,0.878788,8,1.7889,13.4351,0.0,-25.00,1,-25.00,2.16,116,steamroller_bsl,1,1
15,2018.01.17 02:19:17,EURUSD,BUY,3,4,2.8593,-0.00004,0.00062,16.93,1.7889,1,2,3,0.8571,2.3826,14,-2e-05,-8.71,0.878788,8,1.7889,13.4351,0.0,-25.00,1,-25.00,2.16,116,steamroller_bsl,1,1
15,2018.01.17 02:19:17,EURUSD,BUY,4,4,2.8593,-0.00004,0.00062,16.93,1.7889,1,2,3,0.8571,2.3826,14,-2e-05,-8.71,0.878788,8,1.7889,13.4351,0.0,-25.00,1,-25.00,2.16,116,steamroller_bsl,1,1
16,2018.01.17 14:06:15,EURUSD,SELL,2,4,-1.8491,0.00005,0.00066,27.92,-0.8494,1,14,3,0.8000,1.5966,15,9e-05,10.99,0.064516,1,0.8494,24.2375,1.0,10.06,0,-22.62,10.06,87,winner,0,0
16,2018.01.17 14:06:15,EURUSD,SELL,3,4,-1.8491,0.00005,0.00066,27.92,-0.8494,1,14,3,0.8000,1.5966,15,9e-05,10.99,0.064516,1,0.8494,24.2375,1.0,10.06,0,-22.62,10.06,87,winner,0,0
16,2018.01.17 14:06:15,EURUSD,SELL,4,4,-1.8491,0.00005,0.00066,27.92,-0.8494,1,14,3,0.8000,1.5966,15,9e-05,10.99,0.064516,1,0.8494,24.2375,1.0,10.06,0,-22.62,10.06,87,winner,0,0
17,2018.01.18 00:03:05,EURUSD,SELL,2,5,-6.6020,-0.00005,0.00041,27.69,-5.2296,1,0,4,0.8125,1.7293,16,-0.0001,-0.23,-0.378788,2,5.2296,3.3074,1.0,-25.02,1,-25.02,9.28,146,steamroller_bsl,1,1
17,2018.01.18 00:03:05,EURUSD,SELL,3,5,-6.6020,-0.00005,0.00041,27.69,-5.2296,1,0,4,0.8125,1.7293,16,-0.0001,-0.23,-0.378788,2,5.2296,3.3074,1.0,-25.02,1,-25.02,9.28,146,steamroller_bsl,1,1
17,2018.01.18 00:03:05,EURUSD,SELL,4,5,-6.6020,-0.00005,0.00041,27.69,-5.2296,1,0,4,0.8125,1.7293,16,-0.0001,-0.23,-0.378788,2,5.2296,3.3074,1.0,-25.02,1,-25.02,9.28,146,steamroller_bsl,1,1
17,2018.01.18 00:03:05,EURUSD,SELL,5,5,-6.6020,-0.00005,0.00041,27.69,-5.2296,1,0,4,0.8125,1.7293,16,-0.0001,-0.23,-0.378788,2,5.2296,3.3074,1.0,-25.02,1,-25.02,9.28,146,steamroller_bsl,1,1
18,2018.01.18 15:31:41,EURUSD,BUY,2,5,3.0035,-0.00001,0.00060,21.86,1.8625,1,15,4,0.7647,1.3001,17,4e-05,-5.83,0.463415,1,1.8625,5.9998,0.0,10.01,0,-6.14,10.01,106,winner,0,0
18,2018.01.18 15:31:41,EURUSD,BUY,3,5,3.0035,-0.00001,0.00060,21.86,1.8625,1,15,4,0.7647,1.3001,17,4e-05,-5.83,0.463415,1,1.8625,5.9998,0.0,10.01,0,-6.14,10.01,106,winner,0,0
18,2018.01.18 15:31:41,EURUSD,BUY,4,5,3.0035,-0.00001,0.00060,21.86,1.8625,1,15,4,0.7647,1.3001,17,4e-05,-5.83,0.463415,1,1.8625,5.9998,0.0,10.01,0,-6.14,10.01,106,winner,0,0
18,2018.01.18 15:31:41,EURUSD,BUY,5,5,3.0035,-0.00001,0.00060,21.86,1.8625,1,15,4,0.7647,1.3001,17,4e-05,-5.83,0.463415,1,1.8625,5.9998,0.0,10.01,0,-6.14,10.01,106,winner,0,0
19,2018.01.19 00:35:27,EURUSD,BUY,2,2,1.0605,0.00004,0.00043,22.61,0.0127,1,0,5,0.7778,1.3994,18,5e-05,0.75,-0.283333,2,0.0127,3.0032,0.0,10.00,0,-0.80,10.00,108,winner,0,0
