basket_id,open_time,symbol,direction,regime,adx,atr,atr_expansion_rate,impulse_score,dist_ema_abs,spread_points,hour,adx_accel,consecutive_same_dir,ema_slope,profit,hit_bsl,hit_tp,mae,max_depth,label_class,y_steamroller
1490,2025.01.02 13:35:37,EURUSD,SELL,rotation,17.53,0.00061,-0.089552,3.4208,2.2432,4,13,0.98,1,-0.00001,10.03,0,1,-0.17,1,winner,0
1491,2025.01.02 20:22:05,EURUSD,SELL,compression,20.92,0.00035,-0.42623,9.637,6.2281,4,20,3.39,2,0.00002,-25.06,1,0,-25.06,5,steamroller_bsl,1
1492,2025.01.06 05:17:30,EURUSD,BUY,liquidity_vacuum,17.64,0.00013,-0.628571,1.515,2.8601,4,5,-3.28,1,-0.00001,10.08,0,1,-1.72,5,winner,0
1493,2025.01.06 10:25:42,EURUSD,BUY,impulse,26.79,0.00046,2.538462,45.846,3.0454,4,10,9.15,2,-0.00005,10.11,0,1,-2.86,4,winner,0
1494,2025.01.06 13:45:34,EURUSD,BUY,expansion,26.10,0.00081,0.76087,10.444,4.5414,4,13,-0.69,3,-0.00003,10.06,0,1,-18.84,5,winner,0
1495,2025.01.07 08:20:06,EURUSD,BUY,pullback_trend,29.84,0.00058,-0.283951,9.9588,1.5151,4,8,3.74,4,-0.00004,-25.11,1,0,-25.11,5,steamroller_bsl,1
1496,2025.01.08 13:23:39,EURUSD,SELL,rotation,18.41,0.00069,0.189655,3.3227,2.5044,4,13,-11.43,1,-0.00001,10.47,0,1,-5.88,3,winner,0
1497,2025.01.10 15:20:24,EURUSD,SELL,rotation,18.86,0.00109,0.57971,8.6011,1.2161,4,15,0.45,2,0.00005,-25.11,1,0,-25.11,4,steamroller_bsl,1
1498,2025.01.15 15:03:34,EURUSD,BUY,rotation,16.13,0.00080,-0.266055,1.2838,0.3352,4,15,-2.73,1,-0.00002,10.04,0,1,-13.76,4,winner,0
1499,2025.01.20 12:28:02,EURUSD,BUY,compression,17.65,0.00032,-0.6,4.517,1.9081,4,12,1.52,2,-0.00002,10.05,0,1,-1.56,3,winner,0
1500,2025.01.20 15:41:37,EURUSD,BUY,impulse,18.52,0.00135,3.21875,36.3905,3.0519,4,15,0.87,3,-0.00004,10.13,0,1,-8.23,4,winner,0
1501,2025.01.20 22:01:59,EURUSD,BUY,liquidity_vacuum,21.15,0.00027,-0.8,8.5456,3.5423,15,22,2.63,4,-0.00000,-25.10,1,0,-25.10,5,steamroller_bsl,1
1502,2025.01.21 11:51:03,EURUSD,SELL,rotation,17.71,0.00039,0.444444,5.9375,2.7722,4,11,-3.44,1,0.00003,-25.00,1,0,-25.00,5,steamroller_bsl,1
1503,2025.01.21 19:24:04,EURUSD,BUY,pullback_trend,23.66,0.00032,-0.179487,14.3538,6.2154,4,19,5.95,1,-0.00001,10.13,0,1,-11.37,5,winner,0
1504,2025.01.22 13:27:04,EURUSD,BUY,grind,24.21,0.00040,0.25,4.9407,0.9628,4,13,0.55,2,-0.00000,-25.05,1,0,-25.05,5,steamroller_bsl,1
1505,2025.01.23 16:25:00,EURUSD,SELL,expansion,28.84,0.00082,1.05,21.5637,0.8149,4,16,4.63,1,0.00011,-25.01,1,0,-25.01,5,steamroller_bsl,1
1506,2025.01.24 18:02:38,EURUSD,BUY,false_breakout,17.39,0.00034,-0.585366,2.8372,4.1486,4,18,-11.45,1,-0.00002,10.00,0,1,-23.00,5,winner,0
1507,2025.01.27 13:24:35,EURUSD,BUY,pullback_trend,22.49,0.00062,0.823529,20.3948,2.6381,5,13,5.1,2,0.00001,-25.04,1,0,-25.04,4,steamroller_bsl,1
1508,2025.01.28 01:31:52,EURUSD,SELL,liquidity_vacuum,23.58,0.00044,-0.290323,3.9054,3.7018,4,1,1.09,1,0.00004,18.53,0,1,-1.17,1,winner,0
1509,2025.02.03 05:01:35,EURUSD,SELL,liquidity_vacuum,26.22,0.00048,0.090909,8.8839,5.9792,4,5,2.64,2,0.00002,10.09,0,1,-6.51,5,winner,0
1510,2025.02.03 08:55:22,EURUSD,SELL,expansion,29.70,0.00083,0.729167,16.1042,0.2102,4,8,3.48,3,0.00005,-25.05,1,0,-25.05,5,steamroller_bsl,1
1511,2025.02.04 10:31:26,EURUSD,BUY,pullback_trend,26.31,0.00042,-0.493976,1.9827,3.1309,4,10,-3.39,1,-0.00002,10.11,0,1,-3.09,4,winner,0
1512,2025.02.04 21:22:41,EURUSD,BUY,false_breakout,19.70,0.00020,-0.52381,2.1776,4.7102,4,21,-6.61,2,-0.00002,10.11,0,1,-2.30,4,winner,0
1513,2025.02.05 08:37:38,EURUSD,BUY,impulse,28.30,0.00052,1.6,34.9368,0.9474,4,8,8.6,3,-0.00002,10.02,0,1,-4.83,5,winner,0
1514,2025.02.06 21:55:00,EURUSD,BUY,pullback_trend,25.54,0.00017,-0.673077,2.5289,2.1157,5,21,-2.76,4,-0.00002,10.27,0,1,-6.23,5,winner,0
1515,2025.02.07 14:29:34,EURUSD,SELL,impulse,15.44,0.00125,6.352941,64.5981,0.2749,4,14,-10.1,1,0.00003,10.08,0,1,-9.24,4,winner,0
1516,2025.02.13 13:37:54,EURUSD,SELL,grind,24.53,0.00059,-0.528,19.7381,1.4325,4,13,9.09,2,0.00001,10.10,0,1,-16.15,5,winner,0
