basket_id,open_time,symbol,direction,regime,adx,atr,atr_expansion_rate,impulse_score,dist_ema_abs,spread_points,hour,adx_accel,consecutive_same_dir,ema_slope,profit,hit_bsl,hit_tp,mae,max_depth,label_class,y_steamroller
1,2026.01.02 09:09:15,EURUSD,SELL,rotation,15.07,0.00042,0.0,0.9809,1.9238,6,9,0.0,1,-0.00004,10.01,0,1,-1.87,1,winner,0
2,2026.01.09 13:35:00,EURUSD,SELL,pullback_trend,22.96,0.00049,0.166667,19.9336,1.1479,6,13,7.89,2,0.00008,10.02,0,1,-1.80,3,winner,0
3,2026.01.09 15:52:05,EURUSD,SELL,pullback_trend,28.77,0.00056,0.142857,15.214,0.2618,6,15,5.81,3,0.00002,10.00,0,1,-11.70,5,winner,0
4,2026.01.13 18:20:28,EURUSD,SELL,compression,14.48,0.00028,-0.5,2.4951,1.5805,6,18,-14.29,4,0.00003,10.00,0,1,-2.14,2,winner,0
5,2026.01.15 15:47:38,EURUSD,SELL,rotation,19.78,0.00042,0.5,18.9804,2.7217,6,15,5.3,5,0.00001,-25.01,1,0,-25.01,5,steamroller_bsl,1
6,2026.01.20 12:49:40,EURUSD,BUY,pullback_trend,22.00,0.00039,-0.071429,6.59,6.2002,6,12,2.22,1,0.00002,10.00,0,1,-2.56,4,winner,0
7,2026.01.20 14:02:37,EURUSD,BUY,rotation,14.86,0.00102,1.615385,17.8804,1.7063,6,14,-7.14,2,-0.00001,-25.13,1,0,-25.13,5,steamroller_bsl,1
8,2026.01.22 00:30:40,EURUSD,SELL,liquidity_vacuum,23.07,0.00029,-0.715686,17.6493,2.9172,6,0,8.21,1,-0.00001,-25.03,1,0,-25.03,5,steamroller_bsl,1
9,2026.01.22 19:16:01,EURUSD,BUY,false_breakout,18.40,0.00020,-0.310345,2.3742,7.4967,6,19,-4.67,1,-0.00001,10.00,0,1,-4.00,5,winner,0
10,2026.01.26 00:00:41,EURUSD,BUY,liquidity_vacuum,28.04,0.00097,3.85,59.8329,3.4116,6,0,9.64,2,-0.00003,10.00,0,1,-2.64,2,winner,0
11,2026.01.26 17:30:00,EURUSD,BUY,pullback_trend,28.36,0.00045,-0.536082,3.0262,1.9446,6,17,0.32,3,-0.00007,10.04,0,1,-5.30,2,winner,0
12,2026.01.27 17:25:31,EURUSD,BUY,pullback_trend,29.52,0.00070,0.555556,10.9199,4.1772,6,17,1.16,4,-0.00007,10.02,0,1,-0.37,1,winner,0
13,2026.01.27 23:07:35,EURUSD,BUY,false_breakout,18.00,0.00035,-0.5,5.7446,10.5784,6,23,-11.52,5,-0.00001,-25.08,1,0,-25.08,5,steamroller_bsl,1
14,2026.01.28 10:48:03,EURUSD,SELL,rotation,15.51,0.00063,0.8,8.9842,0.3367,6,10,-2.49,1,0.00003,10.04,0,1,-0.76,1,winner,0
15,2026.02.02 00:00:36,EURUSD,SELL,liquidity_vacuum,27.26,0.00056,-0.111111,25.6613,2.2453,6,0,11.75,2,-0.00003,10.04,0,1,-6.21,5,winner,0
16,2026.02.02 07:03:38,EURUSD,SELL,rotation,15.07,0.00050,-0.107143,2.0435,0.5739,7,7,-12.19,3,0.00001,10.02,0,1,-2.61,3,winner,0
17,2026.02.02 17:15:00,EURUSD,SELL,impulse,26.28,0.00048,-0.04,25.7267,3.2267,6,17,11.21,4,0.00006,10.20,0,1,-3.24,4,winner,0
18,2026.02.04 19:35:00,EURUSD,SELL,rotation,16.57,0.00033,-0.3125,2.9323,0.929,6,19,-9.71,5,0.00004,-25.03,1,0,-25.03,5,steamroller_bsl,1
19,2026.02.09 10:31:40,EURUSD,BUY,rotation,21.11,0.00037,0.121212,12.1544,3.0493,6,10,4.54,1,-0.00002,10.01,0,1,-0.49,2,winner,0
20,2026.02.09 16:19:26,EURUSD,BUY,rotation,20.07,0.00052,0.405405,6.0503,3.585,6,16,-1.04,2,-0.00001,-25.00,1,0,-25.00,5,steamroller_bsl,1
21,2026.02.17 06:00:05,EURUSD,SELL,liquidity_vacuum,20.79,0.00019,-0.634615,2.3988,1.0352,8,6,0.72,1,0.00001,10.01,0,1,-2.59,5,winner,0
22,2026.02.17 23:00:03,EURUSD,BUY,rotation,12.24,0.00020,0.052632,1.7999,2.6945,6,23,-8.55,1,-0.00000,-25.00,1,0,-25.00,5,steamroller_bsl,1
23,2026.02.18 23:00:34,EURUSD,SELL,liquidity_vacuum,29.20,0.00010,-0.5,37.3168,11.5872,11,23,16.96,1,0.00000,10.00,0,1,-9.95,5,winner,0
24,2026.02.19 15:02:23,EURUSD,SELL,impulse,26.59,0.00063,5.3,54.8986,2.3946,6,15,-2.61,2,-0.00003,10.07,0,1,-23.13,5,winner,0
25,2026.03.02 00:59:39,EURUSD,SELL,liquidity_vacuum,16.57,0.00048,-0.238095,2.4373,2.9491,6,0,-10.02,3,-0.00001,10.01,0,1,-3.73,3,winner,0
