basket_id,open_time,symbol,direction,regime,adx,atr,atr_expansion_rate,impulse_score,dist_ema_abs,spread_points,hour,adx_accel,consecutive_same_dir,ema_slope,profit,hit_bsl,hit_tp,mae,max_depth,label_class,y_steamroller
1,2018.01.02 02:07:00,EURUSD,BUY,liquidity_vacuum,21.82,0.00023,0.0,0.7964,1.1855,19,2,0.0,1,-0.00003,10.06,0,1,-1.64,3,winner,0
2,2018.01.02 11:58:39,EURUSD,BUY,false_breakout,19.37,0.00039,0.695652,9.0805,4.0961,1,11,-2.45,2,-0.00002,-25.29,1,0,-25.29,5,steamroller_bsl,1
3,2018.01.03 20:28:35,EURUSD,SELL,rotation,19.09,0.00036,-0.076923,1.0348,0.1393,1,20,-0.28,1,0.00003,10.10,0,1,-16.65,5,winner,0
4,2018.01.05 16:01:17,EURUSD,SELL,grind,22.79,0.00062,0.722222,16.0266,1.2176,1,16,3.7,2,0.00002,10.19,0,1,-2.11,2,winner,0
5,2018.01.08 10:04:38,EURUSD,SELL,pullback_trend,24.71,0.00025,-0.596774,7.4496,6.8382,1,10,1.92,3,-0.00002,10.00,0,1,-5.05,5,winner,0
6,2018.01.08 15:50:38,EURUSD,SELL,pullback_trend,26.56,0.00035,0.4,11.0392,3.757,1,15,1.85,4,0.00002,10.07,0,1,-1.90,3,winner,0
7,2018.01.09 12:16:00,EURUSD,SELL,pullback_trend,24.04,0.00027,-0.228571,3.7542,4.6169,1,12,-2.52,5,0.00003,-25.49,1,0,-25.49,5,steamroller_bsl,1
8,2018.01.10 13:01:30,EURUSD,BUY,expansion,26.36,0.00059,1.185185,18.6786,4.3468,1,13,2.32,1,-0.00003,10.03,0,1,-24.62,5,winner,0
9,2018.01.11 16:49:40,EURUSD,BUY,pullback_trend,27.59,0.00058,-0.016949,4.902,5.3678,1,16,1.23,2,-0.00002,10.19,0,1,-0.99,2,winner,0
10,2018.01.12 13:30:17,EURUSD,BUY,pullback_trend,29.78,0.00043,-0.258621,8.1555,5.502,1,13,2.19,3,0.00007,10.00,0,1,-4.08,4,winner,0
11,2018.01.12 16:30:38,EURUSD,BUY,pullback_trend,23.47,0.00068,0.581395,8.8385,2.0981,1,16,-6.31,4,0.00012,10.16,0,1,-2.23,3,winner,0
12,2018.01.14 23:57:35,EURUSD,BUY,false_breakout,14.26,0.00039,-0.426471,4.9467,4.5869,1,23,-9.21,5,-0.00001,10.10,0,1,-0.48,1,winner,0
13,2018.01.15 11:47:19,EURUSD,BUY,impulse,21.99,0.00069,0.769231,27.2911,3.3551,1,11,7.73,6,-0.00004,10.09,0,1,-20.31,4,winner,0
14,2018.01.16 21:00:00,EURUSD,BUY,pullback_trend,25.64,0.00033,-0.521739,12.1282,4.5127,2,21,3.65,7,-0.00002,10.00,0,1,-1.97,3,winner,0
15,2018.01.17 02:19:17,EURUSD,BUY,liquidity_vacuum,16.93,0.00062,0.878788,13.4351,1.7889,1,2,-8.71,8,-0.00004,-25.00,1,0,-25.00,4,steamroller_bsl,1
16,2018.01.17 14:06:15,EURUSD,SELL,pullback_trend,27.92,0.00066,0.064516,24.2375,0.8494,1,14,10.99,1,0.00005,10.06,0,1,-22.62,4,winner,0
17,2018.01.18 00:03:05,EURUSD,SELL,liquidity_vacuum,27.69,0.00041,-0.378788,3.3074,5.2296,1,0,-0.23,2,-0.00005,-25.02,1,0,-25.02,5,steamroller_bsl,1
18,2018.01.18 15:31:41,EURUSD,BUY,grind,21.86,0.00060,0.463415,5.9998,1.8625,1,15,-5.83,1,-0.00001,10.01,0,1,-6.14,5,winner,0
19,2018.01.19 00:35:27,EURUSD,BUY,liquidity_vacuum,22.61,0.00043,-0.283333,3.0032,0.0127,1,0,0.75,2,0.00004,10.00,0,1,-0.80,2,winner,0
20,2018.01.19 10:41:05,EURUSD,BUY,rotation,15.21,0.00063,0.465116,7.1473,0.7847,1,10,-7.4,3,-0.00004,10.01,0,1,-21.79,5,winner,0
21,2018.01.23 16:59:31,EURUSD,BUY,grind,25.04,0.00067,0.063492,22.9848,1.5594,1,16,9.83,4,-0.00001,10.00,0,1,-0.07,1,winner,0
22,2018.01.24 19:52:04,EURUSD,BUY,pullback_trend,27.94,0.00044,-0.343284,9.6111,4.0443,1,19,2.9,5,0.00002,10.03,0,1,-3.29,4,winner,0
23,2018.01.25 13:26:19,EURUSD,SELL,rotation,19.14,0.00067,0.522727,5.9399,0.0506,1,13,-8.8,1,0.00000,10.14,0,1,-6.36,5,winner,0
24,2018.01.25 17:02:38,EURUSD,BUY,pullback_trend,23.66,0.00083,0.238806,13.3696,2.9662,1,17,4.52,1,-0.00007,-25.58,1,0,-25.58,5,steamroller_bsl,1
25,2018.01.25 23:54:03,EURUSD,SELL,pullback_trend,27.36,0.00054,-0.349398,9.5281,4.5123,1,23,3.7,1,-0.00002,-25.24,1,0,-25.24,5,steamroller_bsl,1
26,2018.01.26 09:53:42,EURUSD,BUY,rotation,15.85,0.00071,0.314815,4.4299,1.1272,1,9,-11.51,1,0.00003,-25.07,1,0,-25.07,5,steamroller_bsl,1
27,2018.01.29 15:31:28,EURUSD,SELL,impulse,28.62,0.00067,-0.056338,26.8405,2.4019,1,15,12.77,1,0.00005,10.11,0,1,-4.17,3,winner,0
28,2018.01.30 13:01:21,EURUSD,BUY,rotation,20.05,0.00065,-0.029851,1.3684,2.6736,1,13,-8.57,1,0.00003,10.20,0,1,-1.86,3,winner,0
29,2018.01.30 15:08:42,EURUSD,BUY,rotation,18.47,0.00084,0.292308,5.2063,1.933,1,15,-1.58,2,-0.00005,10.01,0,1,-14.89,5,winner,0
30,2018.01.31 08:49:41,EURUSD,BUY,grind,21.87,0.00064,-0.238095,9.1417,0.9667,1,8,3.4,3,0.00001,10.12,0,1,-16.08,4,winner,0
31,2018.02.01 10:48:39,EURUSD,BUY,rotation,18.22,0.00052,-0.1875,2.7879,1.5518,1,10,-3.65,4,-0.00003,10.10,0,1,-1.26,2,winner,0
32,2018.02.01 22:16:32,EURUSD,BUY,impulse,28.99,0.00035,-0.326923,25.4774,4.9498,4,22,10.77,5,-0.00001,-25.02,1,0,-25.02,5,steamroller_bsl,1
33,2018.02.02 16:30:26,EURUSD,SELL,expansion,29.68,0.00077,1.2,14.9086,2.5143,1,16,0.69,1,0.00003,10.81,0,1,-15.14,5,winner,0
34,2018.02.04 23:30:16,EURUSD,SELL,compression,19.80,0.00041,-0.467532,1.6592,2.6369,2,23,-9.88,2,0.00003,10.01,0,1,-11.79,5,winner,0
35,2018.02.05 16:00:43,EURUSD,SELL,impulse,29.10,0.00071,0.731707,28.2026,1.542,1,16,9.3,3,-0.00001,10.00,0,1,-0.70,1,winner,0
36,2018.02.06 15:57:32,EURUSD,SELL,rotation,19.21,0.00080,0.126761,3.9302,2.2505,1,15,-9.89,4,-0.00002,10.04,0,1,-23.11,5,winner,0
37,2018.02.07 12:45:42,EURUSD,SELL,compression,21.93,0.00045,-0.4375,9.0094,2.6776,1,12,2.72,5,0.00002,10.05,0,1,-0.01,1,winner,0
38,2018.02.07 19:20:58,EURUSD,SELL,pullback_trend,29.76,0.00064,0.422222,24.5938,4.8464,1,19,7.83,6,0.00007,10.00,0,1,-4.04,2,winner,0
39,2018.02.08 13:05:00,EURUSD,SELL,pullback_trend,28.16,0.00090,0.40625,7.9069,0.9776,1,13,-1.6,7,0.00006,10.09,0,1,-20.96,5,winner,0
40,2018.02.08 17:42:05,EURUSD,SELL,pullback_trend,25.28,0.00086,-0.044444,5.5102,0.0408,1,17,-2.88,8,-0.00009,10.00,0,1,-5.79,3,winner,0
41,2018.02.09 18:48:21,EURUSD,SELL,pullback_trend,22.32,0.00062,-0.27907,6.3388,2.155,1,18,-2.96,9,0.00004,-25.02,1,0,-25.02,5,steamroller_bsl,1
42,2018.02.12 22:03:00,EURUSD,BUY,compression,19.13,0.00026,-0.580645,1.5874,2.7496,7,22,-3.19,1,-0.00000,10.19,0,1,-0.32,2,winner,0
43,2018.02.13 09:56:05,EURUSD,BUY,rotation,14.89,0.00057,1.192308,13.6013,0.7129,1,9,-4.24,2,-0.00005,10.01,0,1,-3.91,1,winner,0
44,2018.02.15 00:14:42,EURUSD,BUY,liquidity_vacuum,26.46,0.00037,-0.350877,26.8618,6.0871,1,0,11.57,3,0.00002,10.02,0,1,-1.38,3,winner,0
45,2018.02.15 09:57:37,EURUSD,BUY,rotation,16.63,0.00061,0.648649,9.2323,1.7831,1,9,-9.83,4,-0.00001,10.00,0,1,-5.72,4,winner,0
46,2018.02.15 15:18:02,EURUSD,BUY,rotation,19.68,0.00083,0.360656,12.2888,0.3288,1,15,3.05,5,-0.00001,10.02,0,1,-3.21,3,winner,0
47,2018.02.15 22:35:30,EURUSD,BUY,compression,18.29,0.00026,-0.686747,3.6479,2.5916,1,22,-1.39,6,-0.00001,10.07,0,1,-0.39,2,winner,0
48,2018.02.16 06:36:39,EURUSD,BUY,liquidity_vacuum,23.31,0.00035,0.346154,17.9717,3.8805,1,6,5.02,7,-0.00001,-25.03,1,0,-25.03,5,steamroller_bsl,1
49,2018.02.16 15:30:40,EURUSD,SELL,pullback_trend,22.27,0.00076,1.171429,13.2516,3.3491,1,15,-1.04,1,0.00001,10.04,0,1,-0.59,1,winner,0
50,2018.02.20 11:56:59,EURUSD,SELL,rotation,17.38,0.00049,-0.355263,1.8309,2.9235,1,11,-4.89,2,0.00002,10.02,0,1,-3.09,4,winner,0
51,2018.02.20 16:35:31,EURUSD,SELL,grind,23.79,0.00058,0.183673,16.3872,0.5218,1,16,6.41,3,0.00003,10.04,0,1,-1.87,3,winner,0
52,2018.02.21 06:11:30,EURUSD,SELL,liquidity_vacuum,24.49,0.00032,-0.448276,3.9215,1.2862,1,6,0.7,4,0.00001,10.19,0,1,-2.61,4,winner,0
53,2018.02.21 09:53:39,EURUSD,SELL,rotation,12.91,0.00057,0.78125,10.6957,0.3327,1,9,-11.58,5,0.00004,10.08,0,1,-5.68,2,winner,0
54,2018.02.21 23:42:27,EURUSD,SELL,impulse,28.15,0.00021,-0.631579,35.8613,7.5252,1,23,15.24,6,-0.00001,-25.03,1,0,-25.03,4,steamroller_bsl,1
55,2018.02.22 18:55:12,EURUSD,BUY,expansion,28.47,0.00046,1.190476,13.8463,2.0062,1,18,0.32,1,-0.00004,10.49,0,1,-17.71,5,winner,0
56,2018.02.26 11:30:59,EURUSD,BUY,pullback_trend,29.81,0.00049,0.065217,4.8345,2.0092,1,11,1.34,2,-0.00004,-25.05,1,0,-25.05,5,steamroller_bsl,1
57,2018.02.26 16:11:41,EURUSD,SELL,expansion,29.13,0.00081,0.653061,8.0197,1.1563,1,16,-0.68,1,0.00003,10.67,0,1,-7.36,4,winner,0
58,2018.02.27 17:50:15,EURUSD,SELL,pullback_trend,25.09,0.00057,-0.296296,2.6103,5.6413,1,17,-4.04,2,0.00005,10.07,0,1,-1.35,2,winner,0
59,2018.02.28 16:27:42,EURUSD,SELL,grind,21.61,0.00072,0.263158,4.4735,0.5677,1,16,-3.48,3,0.00003,10.02,0,1,-1.86,2,winner,0
60,2018.03.01 13:45:05,EURUSD,SELL,pullback_trend,23.81,0.00054,-0.25,6.7233,0.8933,1,13,2.2,4,0.00004,-25.20,1,0,-25.20,5,steamroller_bsl,1
61,2018.03.02 00:02:16,EURUSD,BUY,liquidity_vacuum,15.47,0.00023,-0.574074,3.3268,10.5071,1,0,-8.34,1,0.00002,10.13,0,1,-5.57,5,winner,0
62,2018.03.02 13:27:15,EURUSD,BUY,rotation,20.30,0.00052,1.26087,24.5256,3.0275,1,13,4.83,2,-0.00003,10.08,0,1,-2.19,3,winner,0
